model,quantization,mode,pass_at_1,pass_at_10,energy_kj,problems,passed
deepseek-r1-distill-qwen-1.5b,F16,base,35.998236331569665,1.0101010101010102,194.07160799370996,942,95
deepseek-r1-distill-qwen-1.5b,F16,full_tool,40.38955026455026,4.166666666666666,363.3237565000413,786,124
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,38.29166666666667,2.2222222222222223,154.5984143130302,904,106
deepseek-r1-distill-qwen-1.5b,Q4_K_M,full_tool,42.62268518518518,6.547619047619048,264.7950481538413,513,75
deepseek-r1-distill-qwen-1.5b,Q4_K_M,tool_submission,5.351190476190476,,268.0892668982146,765,12
gemma-3n-e2b-it,F16,base,34.49603174603175,4.713804713804714,44.31641831638812,1051,77
gemma-3n-e2b-it,F16,full_tool,48.73500881834215,,62.01941827757361,788,105
gemma-3n-e2b-it,F16,tool_submission,52.52072310405643,,36.98569955244064,786,101
gemma-3n-e2b-it,Q4_K_M,base,38.55313051146385,0.8547008547008548,42.796251419579974,992,82
gemma-3n-e2b-it,Q4_K_M,full_tool,54.78373015873016,,45.5897453806162,602,102
gemma-3n-e2b-it,Q4_K_M,tool_submission,53.96913580246914,,37.85529476984739,799,98
llama-3.2-3b-instruct,F16,base,62.406305114638435,2.5,11.897019650781155,546,140
llama-3.2-3b-instruct,F16,full_tool,44.3260582010582,6.388888888888888,60.77784898656605,814,113
llama-3.2-3b-instruct,F16,tool_submission,40.866843033509696,7.800224466891134,27.261148313462737,851,106
llama-3.2-3b-instruct,Q4_K_M,base,46.86794532627866,3.1746031746031744,17.845581335556506,745,115
llama-3.2-3b-instruct,Q4_K_M,full_tool,36.573164682539684,2.5,44.122992520761485,819,87
llama-3.2-3b-instruct,Q4_K_M,tool_submission,47.94664902998236,,18.988819594383244,719,120
qwen-3-0.6b,F16,base,37.57694003527337,1.5873015873015872,144.29204783763888,916,97
qwen-3-0.6b,F16,full_tool,46.1657848324515,,282.2824611823558,768,111
qwen-3-0.6b,F16,tool_submission,32.93650793650794,5.617283950617284,155.8792631926178,996,89
qwen-3-0.6b,Q4_K_M,base,36.71252204585538,4.898989898989899,141.61214516872167,955,94
qwen-3-0.6b,Q4_K_M,full_tool,47.45017636684303,,295.34538958497046,790,110
qwen-3-0.6b,Q4_K_M,tool_submission,33.0760582010582,,151.5985027325988,1007,89
qwen-3-4b,F16,base,51.46825396825396,3.1746031746031744,201.52083893020165,782,106
qwen-3-4b,F16,full_tool,75.53924162257496,8.333333333333332,351.25536581068036,408,150
qwen-3-4b,F16,tool_submission,58.89241622574956,1.5873015873015872,187.07389073061944,678,118
qwen-3-4b,Q4_K_M,base,45.85471781305115,5.555555555555555,171.33538544926643,839,101
qwen-3-4b,Q4_K_M,full_tool,70.15035273368606,,314.7701261924147,447,144
qwen-3-4b,Q4_K_M,tool_submission,51.82760141093474,5.4453262786596115,163.14356429576875,771,114
